iter	Passed	Remaining
0	0	75
1	1	76
2	2	70
3	2	63
4	3	62
5	3	60
6	4	59
7	5	58
8	5	57
9	6	56
10	6	55
11	7	55
12	8	55
13	8	54
14	9	53
15	10	53
16	10	52
17	11	51
18	11	50
19	12	50
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	40
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	35
45	29	34
46	30	33
47	30	33
48	31	32
49	32	32
50	32	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	44	21
67	45	21
68	45	20
69	46	20
70	47	19
71	48	18
72	48	18
73	49	17
74	50	16
75	50	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
