iter	Passed	Remaining
0	0	846
1	1	797
2	2	740
3	2	720
4	3	692
5	4	684
6	4	667
7	5	654
8	5	654
9	6	652
10	7	652
11	7	648
12	8	646
13	9	650
14	9	649
15	10	658
16	11	664
17	12	666
18	12	661
19	13	656
20	14	657
21	14	662
22	15	659
23	16	657
24	16	653
25	17	648
26	18	649
27	18	649
28	19	645
29	19	642
30	20	643
31	21	640
32	21	640
33	22	641
34	23	641
35	24	655
36	25	656
37	25	655
38	26	653
39	27	651
40	27	649
41	28	647
42	29	646
43	29	645
44	30	641
45	30	638
46	31	635
47	31	634
48	32	631
49	33	629
50	33	629
51	34	627
52	34	625
53	35	622
54	36	621
55	36	621
56	37	619
57	38	618
58	38	621
59	39	625
60	40	628
61	41	628
62	46	693
63	47	693
64	48	691
65	48	690
66	49	689
67	50	687
68	50	685
69	51	683
70	52	682
71	52	680
72	53	679
73	54	677
74	54	675
75	55	674
76	56	672
77	56	670
78	57	670
79	58	668
80	58	666
81	59	665
82	59	660
83	60	659
84	61	657
85	61	656
86	62	654
87	62	652
88	63	652
89	64	651
90	65	651
91	66	651
92	66	652
93	67	651
94	68	649
95	68	648
96	69	648
97	70	648
98	71	646
99	71	646
100	72	646
101	73	645
102	74	645
103	74	643
104	75	642
105	76	641
106	76	640
107	77	639
108	78	639
109	78	637
110	79	636
111	80	636
112	81	636
113	81	637
114	82	636
115	83	636
116	84	634
117	84	634
118	85	633
119	86	633
120	87	633
121	88	633
122	89	634
123	89	633
124	90	633
125	91	633
126	91	632
127	92	631
128	93	632
129	94	632
130	95	631
131	95	630
132	96	630
133	97	629
134	98	630
135	99	630
136	100	630
137	100	630
138	101	629
139	102	630
140	103	629
141	103	627
142	104	627
143	105	626
144	106	627
145	107	626
146	107	626
147	108	626
148	109	624
149	110	624
150	110	623
151	111	623
152	112	622
153	113	622
154	113	621
155	114	621
156	115	620
157	116	619
158	117	619
159	117	619
160	118	617
161	119	617
162	120	616
163	120	616
164	121	615
165	122	615
166	123	614
167	124	614
168	124	613
169	125	612
170	126	612
171	127	611
172	127	610
173	128	610
174	129	610
175	130	610
176	131	609
177	131	608
178	132	608
179	133	607
180	134	607
181	135	607
182	135	606
183	136	606
184	137	605
185	138	604
186	138	603
187	139	603
188	140	602
189	141	601
190	141	600
191	142	600
192	143	599
193	144	598
194	145	598
195	145	598
196	146	597
197	147	596
198	148	595
199	148	595
200	149	594
201	150	593
202	151	592
203	151	592
204	152	591
205	153	590
206	153	589
207	154	588
208	155	587
209	156	586
210	156	586
211	157	585
212	158	585
213	159	584
214	159	584
215	160	583
216	161	582
217	162	581
218	162	581
219	163	580
220	164	579
221	165	578
222	165	577
223	166	577
224	167	576
225	168	575
226	168	575
227	169	574
228	170	573
229	171	572
230	171	572
231	172	571
232	173	570
233	174	570
234	174	569
235	175	568
236	176	567
237	177	566
238	177	566
239	178	565
240	179	565
241	180	564
242	180	563
243	181	563
244	182	562
245	183	561
246	183	560
247	184	560
248	185	559
249	186	558
250	186	557
251	187	557
252	188	556
253	189	555
254	190	555
255	190	554
256	191	553
257	192	552
258	192	552
259	193	551
260	194	551
261	195	550
262	196	549
263	196	548
264	197	547
265	198	547
266	199	546
267	199	545
268	200	544
269	201	543
270	201	543
271	202	542
272	203	541
273	204	540
274	204	540
275	205	539
276	206	538
277	207	538
278	208	537
279	208	537
280	209	536
281	210	535
282	211	535
283	212	534
